jenis_pekerjaan,tahun,median,p10,p90,mean,std
"BELUM/TIDAK
  BEKERJA",2029,0.0,0.0,0.0,0.0,0.0
"BELUM/TIDAK
  BEKERJA",2030,0.0,0.0,0.0,0.0,0.0
"BELUM/TIDAK
  BEKERJA",2031,0.0,0.0,0.0,0.0,0.0
"BELUM/TIDAK
  BEKERJA",2032,0.0,0.0,0.0,0.0,0.0
"BELUM/TIDAK
  BEKERJA",2033,0.0,0.0,0.0,0.0,0.0
"BELUM/TIDAK
  BEKERJA",2034,0.0,0.0,0.0,0.0,0.0
"BELUM/TIDAK
  BEKERJA",2035,0.0,0.0,0.0,0.0,0.0
BELUM/TIDAK BEKERJA,2026,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2027,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2028,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2029,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2030,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2031,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2032,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2033,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2034,497352.0,497352.0,497352.0,497352.0,0.0
BELUM/TIDAK BEKERJA,2035,497352.0,497352.0,497352.0,497352.0,0.0
GURU,2026,0.0,0.0,0.0,0.0,0.0
GURU,2027,0.0,0.0,0.0,0.0,0.0
GURU,2028,0.0,0.0,0.0,0.0,0.0
GURU,2029,0.0,0.0,0.0,0.0,0.0
GURU,2030,0.0,0.0,0.0,0.0,0.0
GURU,2031,0.0,0.0,0.0,0.0,0.0
GURU,2032,0.0,0.0,0.0,0.0,0.0
GURU,2033,0.0,0.0,0.0,0.0,0.0
GURU,2034,0.0,0.0,0.0,0.0,0.0
GURU,2035,0.0,0.0,0.0,0.0,0.0
LAINNYA,2026,109365344.57288672,0.0,534451951.9391538,196445304.5654463,230220170.6120172
LAINNYA,2027,0.0,0.0,236003030227.23004,71449173155.4529,152041423553.30658
LAINNYA,2028,0.0,0.0,69885606855892.58,25651391439842.13,85948015908857.73
LAINNYA,2029,0.0,0.0,1.1280465649904026e+16,9536706293795816.0,4.690910858972467e+16
LAINNYA,2030,0.0,0.0,5.0220346205504154e+17,3.353633985041192e+18,2.305906163810696e+19
LAINNYA,2031,0.0,0.0,0.0,1.279983435825427e+21,1.2489750274301063e+22
LAINNYA,2032,0.0,0.0,0.0,2.7766342211209485e+23,3.5549948214440747e+24
LAINNYA,2033,0.0,0.0,0.0,5.146143130557069e+25,6.949919888871692e+26
LAINNYA,2034,0.0,0.0,0.0,1.158563997345611e+28,2.0365476528608255e+29
LAINNYA,2035,0.0,-0.0,0.0,4.5992984217376223e+30,1.0212500792427014e+32
MENGURUS RUMAH TANGGA,2026,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2027,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2028,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2029,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2030,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2031,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2032,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2033,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2034,0.0,0.0,0.0,0.0,0.0
MENGURUS RUMAH TANGGA,2035,0.0,0.0,0.0,0.0,0.0
NELAYAN,2026,45.267923618637425,3.9729711812577095,86.74701068158097,46.67558747636114,30.025697205162132
NELAYAN,2027,40.14818050072796,0.0,124.13486634897424,52.66518098170124,51.99986273872201
NELAYAN,2028,31.758108686978634,0.0,166.8998509877772,61.43908486708667,81.09936856176773
NELAYAN,2029,21.34806836343781,0.0,199.73515972940356,69.40347861780262,116.2461784467397
NELAYAN,2030,12.669677472457447,0.0,232.41447833143113,77.42692965677979,161.6704399156866
NELAYAN,2031,6.0295610895403415,0.0,241.28793704785755,83.80546048868942,211.26904492209636
NELAYAN,2032,1.626602321147471,0.0,257.09217609149584,94.59042582806619,320.09107341720926
NELAYAN,2033,0.06369228763900348,0.0,247.01644320762915,105.364858965681,394.6092845075373
NELAYAN,2034,0.0,0.0,237.0277572795424,117.77176896630111,488.4176167317161
NELAYAN,2035,0.0,0.0,226.39315645053145,134.55434973698644,620.1310677347211
PELAJAR DAN MAHASISWA,2026,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2027,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2028,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2029,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2030,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2031,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2032,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2033,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2034,0.0,0.0,0.0,0.0,0.0
PELAJAR DAN MAHASISWA,2035,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2026,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2027,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2028,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2029,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2030,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2031,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2032,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2033,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2034,0.0,0.0,0.0,0.0,0.0
PELAJAR MAHASISWA,2035,0.0,0.0,0.0,0.0,0.0
PELAJAR/MAHASISWA,2026,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2027,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2028,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2029,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2030,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2031,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2032,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2033,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2034,562465.0,562465.0,562465.0,562465.0,0.0
PELAJAR/MAHASISWA,2035,562465.0,562465.0,562465.0,562465.0,0.0
PENGACARA,2026,0.0,0.0,0.0,0.0,0.0
PENGACARA,2027,0.0,0.0,0.0,0.0,0.0
PENGACARA,2028,0.0,0.0,0.0,0.0,0.0
PENGACARA,2029,0.0,0.0,0.0,0.0,0.0
PENGACARA,2030,0.0,0.0,0.0,0.0,0.0
PENGACARA,2031,0.0,0.0,0.0,0.0,0.0
PENGACARA,2032,0.0,0.0,0.0,0.0,0.0
